id,club_id,level,popularity,daily_revenue,weekly_revenue,monthly_revenue,total_revenue,total_profit,total_sales,daily_sales_avg,buying_fans,revenue_history,last_update,created_at,updated_at
46b5b3ee-48f7-4a51-a254-b774b3b0e9c5,7023709c-4da5-4585-8c22-f3802940255b,1,1,0,0,0,0,0,0,0,0,[],2026-05-16 00:21:00.235556+00,2026-05-16 00:21:00.235556+00,2026-05-16 00:21:00.235556+00
e956e427-fb11-4374-8201-0b147513ab76,e6195409-90f2-4b51-b1f8-b5966ff9a8c7,1,1,0,0,0,0,0,0,0,0,[],2026-05-16 00:21:00.235556+00,2026-05-16 00:21:00.235556+00,2026-05-16 00:21:00.235556+00
63a5c003-185d-4ed8-9364-8c9bd60cd3b6,ff6acf96-e975-48cb-87dc-53a4e354fd44,1,1,0,0,0,0,0,0,0,0,[],2026-05-17 21:22:54.901975+00,2026-05-17 21:22:54.901975+00,2026-05-17 21:22:54.901975+00
cce7a180-535f-4163-a5ec-e8dad1e2d735,91b63a41-5f76-436e-a49d-4ffef783fc18,1,1,0,0,0,0,0,0,0,0,[],2026-05-17 21:22:54.901975+00,2026-05-17 21:22:54.901975+00,2026-05-17 21:22:54.901975+00
458b8b8c-f38b-4a47-91f2-b31b9055ebcc,ddd7f33f-7749-4442-abb0-93d57c86009b,1,1,0,0,0,0,0,0,0,0,[],2026-05-17 21:22:54.901975+00,2026-05-17 21:22:54.901975+00,2026-05-17 21:22:54.901975+00
442c5d0e-b0d7-4f60-aea8-0958e0d5a5eb,8d46bef8-7a41-4c78-aeed-498a59e45d45,1,1,0,0,0,0,0,0,0,0,[],2026-05-17 21:22:54.901975+00,2026-05-17 21:22:54.901975+00,2026-05-17 21:22:54.901975+00
8dffb593-bab8-4449-90df-2d48dffe4125,67f10b59-1221-4992-91eb-caf375807959,1,1,0,0,0,0,0,0,0,0,[],2026-05-17 21:22:54.901975+00,2026-05-17 21:22:54.901975+00,2026-05-17 21:22:54.901975+00
9ad95ce6-a7bd-493d-94db-4ed3f910737f,4b73a2fc-7ab5-42e4-9966-14b4f952721a,1,1,0,0,0,0,0,0,0,0,[],2026-05-17 21:22:54.901975+00,2026-05-17 21:22:54.901975+00,2026-05-17 21:22:54.901975+00
88e7bd80-8b2e-450e-92df-56ea6a13ff6b,e741a019-b376-4650-8d10-cdd66c430f2f,1,1,0,0,0,0,0,0,0,0,[],2026-05-18 03:00:00.731016+00,2026-05-18 03:00:00.731016+00,2026-05-18 03:00:00.731016+00
0fa3d785-8094-4d78-8a1c-ad533c7e6454,5c7ba0b0-3d77-47fc-8889-9ad3ff051a30,1,1,0,0,0,0,0,0,0,0,[],2026-05-26 00:41:36.152119+00,2026-05-26 00:41:36.152119+00,2026-05-26 00:41:36.152119+00
b8cb451a-c194-4415-836f-cd47a0ddb5b2,d4a9850d-5f42-46ef-ba5a-8d2849348bbc,1,1,0,0,0,0,0,0,0,0,[],2026-05-27 13:26:57.701082+00,2026-05-27 13:26:57.701082+00,2026-05-27 13:26:57.701082+00
f53abb7e-f8e1-41ff-9417-4e883a4106f7,78409b49-7e58-499d-bf12-e9207cb11067,1,1,0,0,0,0,0,0,0,0,[],2026-05-27 14:38:04.587106+00,2026-05-27 14:38:04.587106+00,2026-05-27 14:38:04.587106+00
