id,user_id,activated_at,pix_transaction_id,status
463a10b4-e2d1-4578-b657-ba3951f137c7,e9e8a10a-6572-4369-a9c6-bdb3e6143f8c,2026-04-04 20:21:54.752+00,,active
ef18de20-9823-4814-83c8-84edac12050e,3b612347-aa9f-41f8-9bee-59f26c562344,2026-04-30 23:26:36.233463+00,GIFT_BY_FOUNDER,active
d4610a7d-9d0b-4452-a369-08dcf44b2fa0,320fcbb8-c3eb-43e7-a3eb-0f302b46897f,2026-05-17 20:38:34.139+00,158979712101,active
f69f2634-25d1-4fe1-9616-c9777535cb7b,c9544dd0-3729-480b-bd00-315d75a45711,2026-05-24 03:23:19.273+00,159989901011,active
a3f9d73c-e81b-4625-b769-9071a10a6098,68123140-4a25-44c0-adff-ea148c54423c,2026-05-26 00:58:47.325+00,,active
