id,user_id,club_name,stadium_name,stadium_capacity,status,created_at
97615ad8-e9c5-4e28-84c3-c5a6b9dfb9d7,e9e8a10a-6572-4369-a9c6-bdb3e6143f8c,FLM Team Fc,Arena 2026,5000,matched,2026-04-27 01:03:05.183284+00
e8901189-2c20-4efb-9183-934c14f92b03,68123140-4a25-44c0-adff-ea148c54423c,ADM FC,ARENA LOGO LOGO,5000,matched,2026-04-30 22:04:33.863662+00
d9882380-2429-431e-8644-3739346cec93,68123140-4a25-44c0-adff-ea148c54423c,ADM FC,ARENA LOGO LOGO,5000,matched,2026-05-01 14:47:54.782047+00
010bb6be-4b2f-4e11-a5cc-2dcd4936a8c0,68123140-4a25-44c0-adff-ea148c54423c,ADM FC,ARENA LOGO LOGO,5000,matched,2026-05-03 00:04:51.927342+00
1199cbd4-b3f1-44fd-927a-0e06a4af10a1,c9544dd0-3729-480b-bd00-315d75a45711,ABC FC,Arena AB,5000,matched,2026-05-06 22:46:16.3643+00
73684336-b30d-4fea-bc34-4204bdc194de,fa156d76-dbb9-473c-8a51-a059f6741bd8,Time inicial teste,Arena inicial teste,5000,matched,2026-05-26 00:42:37.113287+00
