id,payload,topic,resource_id,processed,error_message,created_at
5d5156b9-2e62-4229-9a7b-300f2af18ee9,"{""id"": 132148965213, ""data"": {""id"": ""158979712101""}, ""type"": ""payment"", ""action"": ""payment.created"", ""user_id"": ""206332704"", ""live_mode"": true, ""api_version"": ""v1"", ""date_created"": ""2026-05-17T20:38:10Z""}",payment,158979712101,f,,2026-05-17 20:38:11.869198+00
8e80d013-a2f0-4abf-af89-297f90a2ca7e,"{""id"": 132282238146, ""data"": {""id"": ""158979712101""}, ""type"": ""payment"", ""action"": ""payment.updated"", ""user_id"": ""206332704"", ""live_mode"": true, ""api_version"": ""v1"", ""date_created"": ""2026-05-17T20:38:10Z""}",payment,158979712101,f,,2026-05-17 20:38:33.250937+00
6a4418f0-fc74-4256-8589-dc08d0edb0ff,"{""id"": 132282661306, ""data"": {""id"": ""159754666008""}, ""type"": ""payment"", ""action"": ""payment.created"", ""user_id"": ""206332704"", ""live_mode"": true, ""api_version"": ""v1"", ""date_created"": ""2026-05-17T20:51:47Z""}",payment,159754666008,f,,2026-05-17 20:51:48.496905+00
ae866e4e-0dc3-4387-9206-2338c4617c32,"{""id"": 132282786778, ""data"": {""id"": ""159754666008""}, ""type"": ""payment"", ""action"": ""payment.updated"", ""user_id"": ""206332704"", ""live_mode"": true, ""api_version"": ""v1"", ""date_created"": ""2026-05-17T20:51:47Z""}",payment,159754666008,f,,2026-05-17 20:51:57.167999+00
27981fd7-19f6-4dec-af7b-bb20ec4a5b94,"{""id"": 132282786916, ""data"": {""id"": ""159754666008""}, ""type"": ""payment"", ""action"": ""payment.updated"", ""user_id"": ""206332704"", ""live_mode"": true, ""api_version"": ""v1"", ""date_created"": ""2026-05-17T20:51:47Z""}",payment,159754666008,f,,2026-05-17 20:52:03.674435+00
038be684-8f90-4f82-85d9-e557286815cd,"{""id"": 132283220022, ""data"": {""id"": ""158981610413""}, ""type"": ""payment"", ""action"": ""payment.created"", ""user_id"": ""206332704"", ""live_mode"": true, ""api_version"": ""v1"", ""date_created"": ""2026-05-17T21:01:08Z""}",payment,158981610413,f,,2026-05-17 21:01:09.719949+00
b50084da-defe-4ca3-a1ac-619004d22685,"{""id"": 132283165832, ""data"": {""id"": ""158981610413""}, ""type"": ""payment"", ""action"": ""payment.updated"", ""user_id"": ""206332704"", ""live_mode"": true, ""api_version"": ""v1"", ""date_created"": ""2026-05-17T21:01:08Z""}",payment,158981610413,f,,2026-05-17 21:01:34.785425+00
ee9cd4ef-9068-4c65-867c-b6c3d7d8daec,"{""id"": 132151292993, ""data"": {""id"": ""159759066032""}, ""type"": ""payment"", ""action"": ""payment.created"", ""user_id"": ""206332704"", ""live_mode"": true, ""api_version"": ""v1"", ""date_created"": ""2026-05-17T21:29:58Z""}",payment,159759066032,f,,2026-05-17 21:29:59.402527+00
f3934717-0c9f-462b-ac92-d2481f7376af,"{""id"": 132151329729, ""data"": {""id"": ""159759066032""}, ""type"": ""payment"", ""action"": ""payment.updated"", ""user_id"": ""206332704"", ""live_mode"": true, ""api_version"": ""v1"", ""date_created"": ""2026-05-17T21:29:58Z""}",payment,159759066032,f,,2026-05-17 21:30:10.163573+00
f0f23179-7cdd-43c7-8c62-b7f1d68491c5,"{""id"": 132284504418, ""data"": {""id"": ""159759066032""}, ""type"": ""payment"", ""action"": ""payment.updated"", ""user_id"": ""206332704"", ""live_mode"": true, ""api_version"": ""v1"", ""date_created"": ""2026-05-17T21:29:58Z""}",payment,159759066032,f,,2026-05-17 21:30:13.727651+00
