user_id,last_seen,is_online
3b612347-aa9f-41f8-9bee-59f26c562344,2026-05-11 22:29:46.607+00,t
68123140-4a25-44c0-adff-ea148c54423c,2026-05-28 20:19:30.251+00,t
74125438-d6d6-471b-9669-b06add2421de,2026-05-10 17:22:29.117+00,t
320fcbb8-c3eb-43e7-a3eb-0f302b46897f,2026-05-28 20:20:33.065+00,t
e9e8a10a-6572-4369-a9c6-bdb3e6143f8c,2026-05-16 00:06:16.892+00,t
fa156d76-dbb9-473c-8a51-a059f6741bd8,2026-05-26 00:54:14.462+00,t
dd9fd5b7-074d-4375-a26d-0a2e7c61f47c,2026-05-28 21:57:01.209+00,t
c9544dd0-3729-480b-bd00-315d75a45711,2026-05-27 17:52:15.117+00,t
b192ae6f-3143-442f-8ac7-b2fb6c9dca14,2026-05-27 17:52:21.269+00,t
1c4c75aa-2561-441e-9c0e-9655aa005e34,2026-05-16 19:24:26.465+00,t
e60b679b-7e44-484c-a91c-7b7c1ceba32e,2026-05-18 00:59:52.051+00,t
