id,sender_id,receiver_id,sender_club_name,receiver_club_name,sender_stadium,receiver_stadium,sender_stadium_capacity,receiver_stadium_capacity,home_team_id,match_date,status,match_result,created_at,updated_at,tie_breaker,lobby_opened_at,home_joined,away_joined,auto_sim_at
d1402a03-722d-4512-9c6c-19bf951bed20,68123140-4a25-44c0-adff-ea148c54423c,c9544dd0-3729-480b-bd00-315d75a45711,ADM FC,ABC FC,ARENA LOGO LOGO,Arena AB,5000,5000,68123140-4a25-44c0-adff-ea148c54423c,2026-04-30 22:10:21.947056+00,finished,"{""events"": [{""team"": ""home"", ""type"": ""goal"", ""isGoal"": true, ""minute"": 71, ""playerName"": ""Atacante"", ""description"": ""⚽ GOOOL de ADM FC!""}, {""team"": ""home"", ""type"": ""goal"", ""isGoal"": true, ""minute"": 75, ""playerName"": ""Atacante"", ""description"": ""⚽ GOOOL de ADM FC!""}], ""away_name"": ""ABC FC"", ""home_name"": ""ADM FC"", ""simulated"": true, ""away_goals"": 0, ""home_goals"": 2, ""auto_simulated"": true}",2026-04-30 22:05:21.947056+00,2026-04-30 22:12:08.406531+00,none,2026-04-30 22:05:24.764+00,t,t,2026-04-30 22:10:24.764+00
24a6aba8-e421-480e-bf47-af92441d4e22,c9544dd0-3729-480b-bd00-315d75a45711,74125438-d6d6-471b-9669-b06add2421de,ABC FC,UNC SPORT CLUB,Arena AB,Arena Fantástico,5000,5000,c9544dd0-3729-480b-bd00-315d75a45711,2026-05-06 22:54:16.38662+00,finished,"{""events"": [{""team"": ""away"", ""type"": ""goal"", ""isGoal"": true, ""minute"": 4, ""playerName"": ""Atacante"", ""description"": ""⚽ GOOOL de UNC SPORT CLUB!""}, {""team"": ""away"", ""type"": ""goal"", ""isGoal"": true, ""minute"": 28, ""playerName"": ""Atacante"", ""description"": ""⚽ GOOOL de UNC SPORT CLUB!""}, {""team"": ""home"", ""type"": ""goal"", ""isGoal"": true, ""minute"": 38, ""playerName"": ""Atacante"", ""description"": ""⚽ GOOOL de ABC FC!""}, {""team"": ""home"", ""type"": ""goal"", ""isGoal"": true, ""minute"": 42, ""playerName"": ""Atacante"", ""description"": ""⚽ GOOOL de ABC FC!""}, {""team"": ""home"", ""type"": ""goal"", ""isGoal"": true, ""minute"": 65, ""playerName"": ""Atacante"", ""description"": ""⚽ GOOOL de ABC FC!""}], ""away_name"": ""UNC SPORT CLUB"", ""home_name"": ""ABC FC"", ""simulated"": true, ""away_goals"": 2, ""home_goals"": 3, ""auto_simulated"": true}",2026-05-06 22:49:16.38662+00,2026-05-06 22:56:00.751813+00,none,2026-05-06 22:49:18.889+00,t,t,2026-05-06 22:54:18.889+00
ab9be44e-31d6-414d-a25e-8838c9b3aa16,e9e8a10a-6572-4369-a9c6-bdb3e6143f8c,68123140-4a25-44c0-adff-ea148c54423c,FLM Team Fc,ADM FC,Arena 2026,ARENA LOGO LOGO,5000,5000,e9e8a10a-6572-4369-a9c6-bdb3e6143f8c,2026-04-27 01:08:37.070958+00,finished,"{""events"": [{""team"": ""home"", ""type"": ""goal"", ""isGoal"": true, ""minute"": 11, ""playerName"": ""Atacante"", ""description"": ""⚽ GOOOL de FLM Team Fc!""}, {""team"": ""home"", ""type"": ""goal"", ""isGoal"": true, ""minute"": 22, ""playerName"": ""Atacante"", ""description"": ""⚽ GOOOL de FLM Team Fc!""}], ""away_name"": ""ADM FC"", ""home_name"": ""FLM Team Fc"", ""simulated"": true, ""away_goals"": 0, ""home_goals"": 2, ""auto_simulated"": true}",2026-04-27 01:03:37.070958+00,2026-04-27 01:10:01.239384+00,none,2026-04-27 01:03:39.984+00,t,t,2026-04-27 01:08:39.984+00
9ef2368c-939f-482c-bd04-38c21e7fa1d7,68123140-4a25-44c0-adff-ea148c54423c,e9e8a10a-6572-4369-a9c6-bdb3e6143f8c,ADM FC,FLM Team Fc,ARENA LOGO LOGO,Arena 2026,5000,5000,68123140-4a25-44c0-adff-ea148c54423c,2026-05-01 14:55:48.265374+00,finished,"{""events"": [{""team"": ""home"", ""type"": ""goal"", ""isGoal"": true, ""minute"": 7, ""playerName"": ""Atacante"", ""description"": ""⚽ GOOOL de ADM FC!""}, {""team"": ""home"", ""type"": ""goal"", ""isGoal"": true, ""minute"": 18, ""playerName"": ""Atacante"", ""description"": ""⚽ GOOOL de ADM FC!""}, {""team"": ""home"", ""type"": ""goal"", ""isGoal"": true, ""minute"": 19, ""playerName"": ""Atacante"", ""description"": ""⚽ GOOOL de ADM FC!""}, {""team"": ""home"", ""type"": ""goal"", ""isGoal"": true, ""minute"": 30, ""playerName"": ""Atacante"", ""description"": ""⚽ GOOOL de ADM FC!""}, {""team"": ""away"", ""type"": ""goal"", ""isGoal"": true, ""minute"": 34, ""playerName"": ""Atacante"", ""description"": ""⚽ GOOOL de FLM Team Fc!""}, {""team"": ""away"", ""type"": ""goal"", ""isGoal"": true, ""minute"": 58, ""playerName"": ""Atacante"", ""description"": ""⚽ GOOOL de FLM Team Fc!""}, {""team"": ""home"", ""type"": ""goal"", ""isGoal"": true, ""minute"": 87, ""playerName"": ""Atacante"", ""description"": ""⚽ GOOOL de ADM FC!""}], ""away_name"": ""FLM Team Fc"", ""home_name"": ""ADM FC"", ""simulated"": true, ""away_goals"": 2, ""home_goals"": 5, ""auto_simulated"": true}",2026-05-01 14:50:48.265374+00,2026-05-01 14:56:00.931161+00,none,2026-05-01 14:50:50.694+00,t,t,2026-05-01 14:55:50.694+00
219c5704-8fbb-45e5-8e37-3d0af247b6df,3b612347-aa9f-41f8-9bee-59f26c562344,590709c9-368a-4b1d-a9d6-4b57253ca9e8,FLM,ADM,ARENA EU ,Estádio,5000,5000,3b612347-aa9f-41f8-9bee-59f26c562344,2026-05-01 16:20:00+00,pending,,2026-05-01 16:16:08.581646+00,2026-05-01 16:16:08.581646+00,penalties,,f,f,
dd3183c4-f4e8-497e-b756-7092a167e64b,68123140-4a25-44c0-adff-ea148c54423c,1c4c75aa-2561-441e-9c0e-9655aa005e34,ADM FC,Real Zaragola,ARENA LOGO LOGO,Arena Dinamite,5000,5000,68123140-4a25-44c0-adff-ea148c54423c,2026-05-01 16:24:00+00,finished,"{""events"": [{""team"": ""home"", ""type"": ""goal"", ""isGoal"": true, ""minute"": 26, ""playerName"": ""Atacante"", ""description"": ""⚽ GOOOL de ADM FC!""}, {""team"": ""away"", ""type"": ""goal"", ""isGoal"": true, ""minute"": 38, ""playerName"": ""Atacante"", ""description"": ""⚽ GOOOL de Real Zaragola!""}, {""team"": ""home"", ""type"": ""goal"", ""isGoal"": true, ""minute"": 39, ""playerName"": ""Atacante"", ""description"": ""⚽ GOOOL de ADM FC!""}, {""team"": ""home"", ""type"": ""goal"", ""isGoal"": true, ""minute"": 50, ""playerName"": ""Atacante"", ""description"": ""⚽ GOOOL de ADM FC!""}], ""away_name"": ""Real Zaragola"", ""home_name"": ""ADM FC"", ""simulated"": true, ""away_goals"": 1, ""home_goals"": 3, ""auto_simulated"": true}",2026-05-01 16:23:18.23484+00,2026-05-01 16:24:00.913678+00,penalties,,f,f,2026-05-01 16:24:00+00
f6d3927b-2998-439a-9e2b-3152acc89722,68123140-4a25-44c0-adff-ea148c54423c,c9544dd0-3729-480b-bd00-315d75a45711,ADM FC,ABC FC,ARENA LOGO LOGO,Arena AB,5000,5000,68123140-4a25-44c0-adff-ea148c54423c,2026-05-03 00:10:54.50738+00,finished,"{""events"": [{""team"": ""home"", ""type"": ""goal"", ""isGoal"": true, ""minute"": 9, ""playerName"": ""Atacante"", ""description"": ""⚽ GOOOL de ADM FC!""}, {""team"": ""away"", ""type"": ""goal"", ""isGoal"": true, ""minute"": 12, ""playerName"": ""Atacante"", ""description"": ""⚽ GOOOL de ABC FC!""}, {""team"": ""home"", ""type"": ""goal"", ""isGoal"": true, ""minute"": 27, ""playerName"": ""Atacante"", ""description"": ""⚽ GOOOL de ADM FC!""}], ""away_name"": ""ABC FC"", ""home_name"": ""ADM FC"", ""simulated"": true, ""away_goals"": 1, ""home_goals"": 2, ""auto_simulated"": true}",2026-05-03 00:05:54.50738+00,2026-05-03 00:12:01.605143+00,none,2026-05-03 00:05:57.285+00,t,t,2026-05-03 00:10:57.285+00
5022c7dc-1a88-4a0b-a61e-864e54ab9526,fa156d76-dbb9-473c-8a51-a059f6741bd8,68123140-4a25-44c0-adff-ea148c54423c,Time inicial teste,ADM FC,Arena inicial teste,ARENA Administrativa ,5000,120000,fa156d76-dbb9-473c-8a51-a059f6741bd8,2026-05-26 00:47:39.670797+00,finished,"{""events"": [{""team"": ""neutral"", ""type"": ""kickoff"", ""ballX"": 0.5, ""ballY"": 0.5, ""minute"": 0, ""animType"": ""kickoff"", ""description"": ""🏟️ A partida começa no Arena inicial teste! 👥 Público: 100 (🏠 2% de ocupação) — Time inicial teste x ADM FC • Amistoso Online!"", ""momentPhase"": ""equilíbrio""}, {""team"": ""neutral"", ""text"": ""🔄 Tática ajustada: pressao alta — efeito a partir do minuto 0'"", ""type"": ""narration"", ""minute"": 0}, {""team"": ""home"", ""text"": ""⚡ Boa pressão na frente, jogada perigosa."", ""type"": ""narration"", ""minute"": 2}, {""team"": ""home"", ""text"": ""⚡ Boa pressão na frente, jogada perigosa."", ""type"": ""narration"", ""minute"": 16}, {""team"": ""home"", ""text"": ""⚽ GOOOL! Costa marca para Time inicial teste!"", ""type"": ""goal"", ""minute"": 27, ""player"": ""Costa"", ""playerId"": ""7azskh90h""}, {""team"": ""away"", ""text"": ""🛡️ Boa marcação defensiva interrompe o ataque."", ""type"": ""narration"", ""minute"": 31}, {""team"": ""home"", ""text"": ""⚡ Boa pressão na frente, jogada perigosa."", ""type"": ""narration"", ""minute"": 46}, {""team"": ""away"", ""text"": ""⚽ GOOOL! ADM FC marca para ADM FC!"", ""type"": ""goal"", ""minute"": 51, ""player"": ""ADM FC""}, {""team"": ""away"", ""text"": ""🛡️ Boa marcação defensiva interrompe o ataque."", ""type"": ""narration"", ""minute"": 60}, {""team"": ""away"", ""text"": ""⚽ GOOOL! ADM FC marca para ADM FC!"", ""type"": ""goal"", ""minute"": 67, ""player"": ""ADM FC""}, {""team"": ""home"", ""text"": ""⚡ Boa pressão na frente, jogada perigosa."", ""type"": ""narration"", ""minute"": 75}, {""team"": ""neutral"", ""text"": ""🏁 Apito final."", ""type"": ""narration"", ""minute"": 90}], ""away_name"": ""ADM FC"", ""home_name"": ""Time inicial teste"", ""simulated"": true, ""away_goals"": 2, ""home_goals"": 1, ""live_match_id"": ""4dfc4dd4-b10f-4429-81f5-434cf85f4049"", ""auto_simulated"": false}",2026-05-26 00:42:39.670797+00,2026-05-26 01:02:53.532355+00,none,2026-05-26 00:42:41.177+00,t,t,2026-05-26 00:47:39.670797+00
