id,user_id,type,title,message,icon,data,read_at,created_at,category,priority,link,actions
a86f0114-afda-49c6-8fde-990d9b17ee14,0d476bb0-aebd-4e9f-96d2-6c5d4a76cb6a,success,Produto ativado,"""Marketing Nacional"" foi ativado. Bônus: R$ 0 · +0 torcedores · +0 sócios. Válido por 15 dias.",📦,"{""item_id"": ""mkt_nacional"", ""category"": ""marketing"", ""order_id"": ""055328d2-ffd8-4e1b-b0a2-8c5955c3aa33"", ""expires_at"": ""2026-06-01T22:10:50.220731+00:00""}",,2026-05-17 22:10:50.220731+00,Loja,high,,
5a0ea030-5afc-4aca-8b50-4f8e61860974,68123140-4a25-44c0-adff-ea148c54423c,match_report,🔴 Relatório: ADM FC 0x2 FLM Team Fc,Brasileirão Série A • Toque para ver os detalhes da partida.,📊,"{""my_goals"": 0, ""opp_goals"": 2, ""competition"": ""Brasileirão Série A"", ""match_db_id"": ""a29f554e-69bb-4e28-abac-8a997275e126""}",2026-05-11 22:45:56.955+00,2026-05-11 22:45:48.306906+00,Club,medium,,
62af9cc2-8ef7-47d6-88c8-51cf8be357b0,c9544dd0-3729-480b-bd00-315d75a45711,success,Pagamento Confirmado,"Recebemos seu pagamento para ""Campanha Local"".",✅,"{""status"": ""PAID"", ""order_id"": ""cb1b1c96-17fd-414c-8145-81cd61a93822"", ""payment_id"": ""159602823718""}",2026-05-16 19:24:47.738+00,2026-05-16 17:46:44.187025+00,Financeiro,high,,
7c1b8a7a-bead-4b6c-b9bb-5155ba20702e,c9544dd0-3729-480b-bd00-315d75a45711,success,Acesso Liberado!,"Seu item ""Plano Sócio Ouro"" foi liberado automaticamente.",🚀,"{""item_id"": ""socio_ouro"", ""order_id"": ""1905e47b-3ea8-46a2-9e57-5ceddeaf99ec"", ""delivered"": true}",2026-05-17 21:02:01.799+00,2026-05-17 21:01:36.43188+00,Clube,ultra,,
b54e5fde-af29-4710-8aad-aae66f3dc00f,0d476bb0-aebd-4e9f-96d2-6c5d4a76cb6a,success,Produto ativado,"""Reforma do Estádio"" foi ativado. Bônus: R$ 0 · +0 torcedores · +0 sócios. Válido por 30 dias.",📦,"{""item_id"": ""infra_stadium"", ""category"": ""infrastructure"", ""order_id"": ""be47274e-ac09-4d4f-9cdd-a2d4297027b0"", ""expires_at"": ""2026-06-16T22:10:48.867008+00:00""}",,2026-05-17 22:10:48.867008+00,Loja,high,,
f8f677e4-d8ca-48b0-85dc-fcaede751fe2,0d476bb0-aebd-4e9f-96d2-6c5d4a76cb6a,success,Produto ativado,"""Centro Médico"" foi ativado. Bônus: R$ 0 · +0 torcedores · +0 sócios. Válido por 30 dias.",📦,"{""item_id"": ""infra_medical"", ""category"": ""infrastructure"", ""order_id"": ""e645390a-2d69-424f-b285-e0c6679f467e"", ""expires_at"": ""2026-06-16T22:10:49.133943+00:00""}",,2026-05-17 22:10:49.133943+00,Loja,high,,
e7304162-94f7-4081-8110-941964202cb2,0d476bb0-aebd-4e9f-96d2-6c5d4a76cb6a,success,Produto ativado,"""Academia de Base"" foi ativado. Bônus: R$ 0 · +0 torcedores · +0 sócios. Válido por 30 dias.",📦,"{""item_id"": ""infra_academy"", ""category"": ""infrastructure"", ""order_id"": ""f673ef66-6bd9-4da3-bfd3-66b58af7a2e3"", ""expires_at"": ""2026-06-16T22:10:49.352227+00:00""}",,2026-05-17 22:10:49.352227+00,Loja,high,,
f5fd26a7-8722-4dea-b8ec-fc540593235a,0d476bb0-aebd-4e9f-96d2-6c5d4a76cb6a,success,Produto ativado,"""Novo CT"" foi ativado. Bônus: R$ 0 · +0 torcedores · +0 sócios. Válido por 30 dias.",📦,"{""item_id"": ""infra_ct"", ""category"": ""infrastructure"", ""order_id"": ""13c39805-7f13-4ed8-b05e-d5d47425926b"", ""expires_at"": ""2026-06-16T22:10:49.587673+00:00""}",,2026-05-17 22:10:49.587673+00,Loja,high,,
a588b4fd-8228-4774-8f50-6677422f8565,0d476bb0-aebd-4e9f-96d2-6c5d4a76cb6a,success,Produto ativado,"""Campanha Local"" foi ativado. Bônus: R$ 0 · +0 torcedores · +0 sócios. Válido por 10 dias.",📦,"{""item_id"": ""mkt_local"", ""category"": ""marketing"", ""order_id"": ""33c8e6eb-6647-4830-bc72-ccd81fd7a729"", ""expires_at"": ""2026-05-27T22:10:49.803369+00:00""}",,2026-05-17 22:10:49.803369+00,Loja,high,,
22f1631d-3aca-4842-8f5d-437197c856e4,0d476bb0-aebd-4e9f-96d2-6c5d4a76cb6a,success,Produto ativado,"""Marketing Regional"" foi ativado. Bônus: R$ 0 · +0 torcedores · +0 sócios. Válido por 10 dias.",📦,"{""item_id"": ""mkt_regional"", ""category"": ""marketing"", ""order_id"": ""5865ae35-575c-4e43-983c-1c0d5e29f635"", ""expires_at"": ""2026-05-27T22:10:50.447549+00:00""}",,2026-05-17 22:10:50.447549+00,Loja,high,,
7715ae70-0e22-4c24-bd70-75f8fe40012b,0d476bb0-aebd-4e9f-96d2-6c5d4a76cb6a,success,Produto ativado,"""FLM Media Elite"" foi ativado. Bônus: R$ 0 · +0 torcedores · +0 sócios. Válido por 30 dias.",📦,"{""item_id"": ""mkt_elite"", ""category"": ""marketing"", ""order_id"": ""c79e9b4e-cd2d-4eb6-89b8-c42c166ac1ed"", ""expires_at"": ""2026-06-16T22:10:50.679695+00:00""}",,2026-05-17 22:10:50.679695+00,Loja,high,,
